company,attendee_name,attendee_title
Blum Health Ltd,Michael Watts,CEO
Rendever,Kyle Rand,CEO
Needham & Company,Ryan MacDonald,Analyst
Ceresti Health,Dirk Soenksen,CEO
Tampa General Hospital,Anthony Zlaket,VC Manager
CWH Advisors,David Bjork,CEO
Verizon Enterprise Solutions,Kevin Donahue,Dist Archt-Solutions Archt
E Ink Corporation,Jamie Laughlin,Sr. Sales Manager
FallCall Solutions,"Shea Gregg, MD",President/Founder
7wireVentures,Robert Garber,Partner
RingCentral,David Chao,Healthcare Executive
PLUG and PLAY,Julianne Roseman,Principal
Lisa Leonard Voiceworks,Lisa Leonard,Voice Actor/Medical Narrator
Deloitte,simon gisby,Partner
2Morrow,Jo Masterson,CEO
PEP Health,Mark Lomax,CEO
HLTH,Jody Tropeano,Head of Content
Takeda Digital Ventures,Bruce Meadows,Managing Partner
Medable,Michelle Longmire,CEO & Co founder
Samsung NEXT,Jonathan Machado,Managing Director
RingCentral,John Poli,Industry Principal - Healthcare
Aboard,Lee MacDonald,CEO
First Line Software,Anatoly Postilnik,Managing Director
Healthvana,Ramin Bastani,CEO
Tiger Analytics,Sam Ramachandran,Chief Sales Officer
CISA,Claudia Revelo,Marketing
The SSA Group,Nancy M Green,Senior Vice President
Humetrix,Bettina Experton,President & CEO
InterSystems,Kathleen Aller,Head of Healthcare Market Strategy
Spectrum Enterprise,Evonda Robertson,"Sr. Manager, Tradeshows & Events"
Cedars-Sinai Medical Center,Julien Brohan,"Manager, Cedars-Sinai Technology Ventures"
Ford Hutman Media,Rachel Ford Hutman,CEO
BioTrillion,Savan Devani,Founder & CEO
Boston Children's Hospital,"John Brownstein,",SVP and Chief Innovation Officer
ECHAlliance,Bleddyn Rees,Chair
Consensus Cloud Solutions,Bevey Miner,EVP Healthcare Strategy and Policy
Soap Health,Steven Charlap,CEO
Cliniconex,Kevin Haaland,Chief Technology Officer
Sword Health,Dan Doverspike,"GM, Government Programs"
